Data,Peso,BMI,Polso,Torace,Vita,Fianchi,Coscia,Collo
2026-02-07,138.35,44.66,22.0,135.0,142.0,145.0,74.0,46.0
2026-02-15,134.7,43.49,21.0,131.0,133.0,142.0,72.0,45.0
2026-02-22,132.9,42.9,21.0,129.0,128.0,137.0,71.0,45.0
2026-03-01,131.8,42.55,21.0,126.0,131.0,130.0,69.0,45.0
